[18/10/2017 2:45:4] /r
[18/10/2017 2:46:57] /save
[18/10/2017 2:48:23] /r
[18/10/2017 2:48:24] /a 3
[18/10/2017 2:48:25] /a 3
[18/10/2017 2:48:25] /a 3
[18/10/2017 2:48:25] /a 3
[18/10/2017 2:48:25] /a 3
[18/10/2017 2:48:25] /a 3
[18/10/2017 2:48:26] /a 3
[18/10/2017 2:48:27] /a 3
[18/10/2017 2:48:30] /up
[18/10/2017 2:48:36] /up
[18/10/2017 2:48:45] /up
[18/10/2017 2:48:55] /up
[18/10/2017 2:49:4] /up
[18/10/2017 2:50:11] /up
[18/10/2017 2:53:36] /a 3
[18/10/2017 2:53:37] /a 3
[18/10/2017 2:53:37] /a 3
[18/10/2017 2:53:37] /a 3
[18/10/2017 2:53:42] /a 3
[18/10/2017 2:53:43] /a 3
[18/10/2017 2:53:43] /a 3
[18/10/2017 2:53:54] /a 3
[18/10/2017 2:53:55] /a 3
[18/10/2017 2:53:55] /a 3
[18/10/2017 2:53:55] /a 3
[18/10/2017 2:53:56] /a 3
[18/10/2017 2:53:56] /a 3
[18/10/2017 2:53:56] /a 3
[18/10/2017 2:53:57] /a 3
[18/10/2017 2:53:57] /a 3
[18/10/2017 2:53:57] /a 3
[18/10/2017 2:53:58] /a 3
[18/10/2017 2:53:58] /a 3
[18/10/2017 2:53:58] /a 3
[18/10/2017 2:53:58] /a 3
[18/10/2017 2:53:59] /a 3
[18/10/2017 2:54:0] /a 3
[18/10/2017 2:54:2] /a 3
[18/10/2017 2:54:2] /a 3
[18/10/2017 2:54:3] /a 3
[18/10/2017 2:54:3] /a 3
[18/10/2017 2:54:3] /a 3
[18/10/2017 2:54:4] /a 3
[18/10/2017 2:54:4] /a 3
[18/10/2017 2:54:4] /a 3
[18/10/2017 2:54:5] /a 3
[18/10/2017 2:54:5] /a 3
[18/10/2017 2:54:6] /a 3
[18/10/2017 2:54:6] /a 3
[18/10/2017 2:54:6] /a 3
[18/10/2017 2:54:6] /a 3
[18/10/2017 2:54:9] /a 3
[18/10/2017 2:54:10] /a 3
[18/10/2017 2:54:10] /a 3
[18/10/2017 2:54:10] /a 3
[18/10/2017 2:54:10] /a 3
[18/10/2017 2:54:10] /a 3
[18/10/2017 2:54:11] /a 3
[18/10/2017 2:54:11] /a 3
[18/10/2017 2:54:11] /a 3
[18/10/2017 2:54:11] /a 3
[18/10/2017 2:54:11] /a 3
[18/10/2017 2:54:12] /a 3
[18/10/2017 2:54:12] /a 3
[18/10/2017 2:54:12] /a 3
[18/10/2017 2:54:12] /a 3
[18/10/2017 2:54:14] /a 3
[18/10/2017 2:54:14] /a 3
[18/10/2017 2:54:14] /a 3
[18/10/2017 2:54:14] /a 3
[18/10/2017 2:54:15] /a 3
[18/10/2017 2:54:15] /a 3
[18/10/2017 2:54:15] /a 3
[18/10/2017 2:54:15] /a 3
[18/10/2017 2:54:15] /a 3
[18/10/2017 2:54:16] /a 3
[18/10/2017 2:54:16] /a 3
[18/10/2017 2:54:16] /a 3
[18/10/2017 2:54:17] /a 3
[18/10/2017 2:54:17] /a 3
[18/10/2017 2:54:18] /a 3
[18/10/2017 2:54:18] /a 3
[18/10/2017 2:54:18] /a 3
[18/10/2017 2:54:19] /a 3
[18/10/2017 2:54:23] /a 3
[18/10/2017 2:54:23] /a 3
[18/10/2017 2:54:23] /a 3
[18/10/2017 2:54:23] /a 3
[18/10/2017 2:54:23] /a 3
[18/10/2017 2:54:24] /a 3
[18/10/2017 2:54:25] /a 3
[18/10/2017 2:54:25] /a 3
[18/10/2017 2:54:25] /a 3
[18/10/2017 2:54:27] /a 3
[18/10/2017 2:54:35] /a 3
[18/10/2017 2:54:35] /a 3
[18/10/2017 2:54:35] /a 3
[18/10/2017 2:54:36] /a 3
[18/10/2017 2:54:36] /a 3
[18/10/2017 2:54:36] /a 3
[18/10/2017 2:54:36] /a 3
[18/10/2017 2:54:38] /a 49
[18/10/2017 2:54:40] /a 3
[18/10/2017 2:54:40] /a 3
[18/10/2017 2:54:41] /a 3
[18/10/2017 2:54:41] /a 3
[18/10/2017 2:54:41] /a 3
[18/10/2017 2:54:41] /a 3
[18/10/2017 2:54:41] /a 3
[18/10/2017 2:54:41] /a 3
[18/10/2017 2:54:41] /a 3
[18/10/2017 2:54:41] /a 3
[18/10/2017 2:54:41] /a 3
[18/10/2017 2:54:41] /a 3
[18/10/2017 2:54:41] /a 3
[18/10/2017 2:54:41] /a 3
[18/10/2017 2:54:41] /a 3
[18/10/2017 2:54:43] /a 3
[18/10/2017 2:54:43] /a 3
[18/10/2017 2:54:43] /a 3
[18/10/2017 2:54:43] /a 3
[18/10/2017 2:54:44] /a 3
[18/10/2017 2:54:44] /a 3
[18/10/2017 2:54:45] /a 3
[18/10/2017 2:54:45] /a 3
[18/10/2017 2:54:46] /a 3
[18/10/2017 2:54:50] /a 3
[18/10/2017 2:54:50] /a 3
[18/10/2017 2:54:50] /a 3
[18/10/2017 2:54:50] /a 3
[18/10/2017 2:54:51] /a 3
[18/10/2017 2:54:51] /a 3
[18/10/2017 2:54:51] /a 3
[18/10/2017 2:54:51] /a 3
[18/10/2017 2:54:51] /a 3
[18/10/2017 2:54:52] /a 3
[18/10/2017 2:54:52] /a 3
[18/10/2017 2:54:52] /a 3
[18/10/2017 2:54:52] /a 3
[18/10/2017 2:54:52] /a 3
[18/10/2017 2:54:53] /a 3
[18/10/2017 2:54:53] /a 3
[18/10/2017 2:54:54] /a 3
[18/10/2017 2:54:54] /a 3
[18/10/2017 2:54:54] /a 3
[18/10/2017 2:54:55] /a 3
[18/10/2017 2:54:55] /a 3
[18/10/2017 2:54:55] /a 3
[18/10/2017 2:54:56] /a 3
[18/10/2017 2:54:56] /a 3
[18/10/2017 2:54:56] /a 3
[18/10/2017 2:54:57] /a 3
[18/10/2017 2:54:57] /a 3
[18/10/2017 2:54:57] /a 3
[18/10/2017 2:54:58] /a 3
[18/10/2017 2:54:59] /a 3
[18/10/2017 2:54:59] /a 3
[18/10/2017 2:54:59] /a 3
[18/10/2017 2:55:0] /a 3
[18/10/2017 2:55:0] /a 3
[18/10/2017 2:55:1] /a 3
[18/10/2017 2:55:1] /a 3
[18/10/2017 2:55:1] /a 3
[18/10/2017 2:55:2] /a 3
[18/10/2017 2:55:2] /a 3
[18/10/2017 2:55:2] /a 3
[18/10/2017 2:55:2] /a 3
[18/10/2017 2:55:2] /a 3
[18/10/2017 2:55:2] /a 3
[18/10/2017 2:55:2] /a 3
[18/10/2017 2:55:2] /a 3
[18/10/2017 2:55:2] /a 3
[18/10/2017 2:55:2] /a 3
[18/10/2017 2:55:2] /a 3
[18/10/2017 2:55:2] /a 3
[18/10/2017 2:55:2] /a 3
[18/10/2017 2:55:3] /a 3
[18/10/2017 2:55:3] /a 3
[18/10/2017 2:55:3] /a 3
[18/10/2017 2:55:4] /a 3
[18/10/2017 2:55:5] /a 3
[18/10/2017 2:55:5] /a 3
[18/10/2017 2:55:9] /a 3
[18/10/2017 2:55:9] /a 3
[18/10/2017 2:55:9] /a 3
[18/10/2017 2:55:10] /a 3
[18/10/2017 2:55:10] /a 3
[18/10/2017 2:55:10] /a 3
[18/10/2017 2:55:11] /a 3
[18/10/2017 2:55:11] /a 3
[18/10/2017 2:55:13] /a 3
[18/10/2017 2:55:13] /a 3
[18/10/2017 2:55:13] /a 3
[18/10/2017 2:55:14] /a 3
[18/10/2017 2:55:14] /a 3
[18/10/2017 2:55:14] /a 3
[18/10/2017 2:55:15] /a 3
[18/10/2017 2:55:15] /a 3
[18/10/2017 2:55:15] /a 3
[18/10/2017 2:55:17] /a 3
[18/10/2017 2:55:17] /a 3
[18/10/2017 2:55:18] /a 3
[18/10/2017 2:55:19] /a 3
[18/10/2017 2:55:19] /a 3
[18/10/2017 2:55:19] /a 3
[18/10/2017 2:55:19] /a 3
[18/10/2017 2:55:19] /a 3
[18/10/2017 2:55:19] /a 3
[18/10/2017 2:55:19] /a 3
[18/10/2017 2:55:19] /a 3
[18/10/2017 2:55:19] /a 3
[18/10/2017 2:55:19] /a 3
[18/10/2017 2:55:20] /a 3
[18/10/2017 2:55:21] /a 3
[18/10/2017 2:55:21] /a 3
[18/10/2017 2:55:22] /a 3
[18/10/2017 2:55:22] /a 3
[18/10/2017 2:55:23] /a 3
[18/10/2017 2:55:23] /a 3
[18/10/2017 2:55:23] /a 3
[18/10/2017 2:55:23] /a 3
[18/10/2017 2:55:24] /a 3
[18/10/2017 2:55:24] /a 3
[18/10/2017 2:55:25] /a 3
[18/10/2017 2:55:26] /a 3
[18/10/2017 2:55:27] /a 3
[18/10/2017 2:55:27] /a 3
[18/10/2017 2:55:28] /a 3
[18/10/2017 2:55:28] /a 3
[18/10/2017 2:55:29] /a 3
[18/10/2017 2:55:30] /a 3
[18/10/2017 2:55:30] /a 3
[18/10/2017 2:55:31] /a 3
[18/10/2017 2:55:31] /a 3
[18/10/2017 2:55:31] /a 3
[18/10/2017 2:55:36] /a 3
[18/10/2017 2:55:36] /a 3
[18/10/2017 2:55:37] /a 3
[18/10/2017 2:55:37] /a 3
[18/10/2017 2:55:37] /a 3
[18/10/2017 2:55:37] /a 3
[18/10/2017 2:55:38] /a 3
[18/10/2017 2:55:38] /a 3
[18/10/2017 2:55:38] /a 3
[18/10/2017 2:55:38] /a 3
[18/10/2017 2:55:38] /a 3
[18/10/2017 2:55:39] /a 3
[18/10/2017 2:55:40] /a 3
[18/10/2017 2:55:42] /a 3
[18/10/2017 2:55:43] /a 3
[18/10/2017 2:55:43] /a 3
[18/10/2017 2:55:43] /a 3
[18/10/2017 2:55:43] /a 3
[18/10/2017 2:55:43] /a 3
[18/10/2017 2:55:43] /a 3
[18/10/2017 2:55:43] /a 3
[18/10/2017 2:55:43] /a 3
[18/10/2017 2:55:43] /a 3
[18/10/2017 2:55:43] /a 3
[18/10/2017 2:55:44] /a 3
[18/10/2017 2:55:44] /a 3
