[14/10/2017 20:19:11] /goto boizao
[14/10/2017 20:19:20] /a 10
[14/10/2017 20:19:20] /a 10
[14/10/2017 20:19:20] /a 10
[14/10/2017 20:19:21] /a 10
[14/10/2017 20:19:21] /a 10
[14/10/2017 20:19:21] /a 10
[14/10/2017 20:19:21] /a 10
[14/10/2017 20:19:21] /a 10
[14/10/2017 20:19:21] /a 10
[14/10/2017 20:19:21] /a 10
[14/10/2017 20:19:21] /a 10
[14/10/2017 20:19:22] /a 10
[14/10/2017 20:19:22] /a 10
[14/10/2017 20:19:22] /a 10
[14/10/2017 20:19:22] /a 10
[14/10/2017 20:19:23] /a 10
[14/10/2017 20:19:23] /a 1
[14/10/2017 20:19:24] /a 1
[14/10/2017 20:19:24] /a 10
[14/10/2017 20:19:25] /a 10
[14/10/2017 20:19:25] /a 10
[14/10/2017 20:19:25] /a 10
[14/10/2017 20:19:25] /a 10
[14/10/2017 20:19:25] /a 10
[14/10/2017 20:19:26] /a 10
[14/10/2017 20:19:26] /a 10
[14/10/2017 20:19:27] /a 1
[14/10/2017 20:19:27] /a 1
[14/10/2017 20:19:28] /a 1
[14/10/2017 20:19:28] /a 1
[14/10/2017 20:19:28] /a 1
[14/10/2017 20:19:29] /a 1
[14/10/2017 20:19:31] /a 1
[14/10/2017 20:19:31] /a 1
[14/10/2017 20:19:31] /a 1
[14/10/2017 20:19:32] /a 1
[14/10/2017 20:19:32] /a 1
[14/10/2017 20:19:32] /a 1
[14/10/2017 20:19:32] /a 1
[14/10/2017 20:19:32] /a 1
[14/10/2017 20:19:33] /a 1
[14/10/2017 20:19:33] /a 1
[14/10/2017 20:19:34] /a 1
[14/10/2017 20:19:34] /a 1
[14/10/2017 20:19:39] /a 1
[14/10/2017 20:19:39] /a 1
[14/10/2017 20:19:39] /a 1
[14/10/2017 20:19:40] /a 1
[14/10/2017 20:19:40] /a 1
[14/10/2017 20:19:40] /a 1
[14/10/2017 20:19:40] /a 1
[14/10/2017 20:19:40] /a 1
[14/10/2017 20:19:41] /a 1
[14/10/2017 20:19:41] /a 1
[14/10/2017 20:19:41] /a 1
[14/10/2017 20:19:41] /a 1
[14/10/2017 20:19:48] /a 1
[14/10/2017 20:19:49] /a 1
[14/10/2017 20:19:49] /a 1
[14/10/2017 20:19:49] /a 1
[14/10/2017 20:19:51] /a 1
[14/10/2017 20:19:52] /a 1
[14/10/2017 20:19:52] /a 1
[14/10/2017 20:19:52] /a 1
[14/10/2017 20:19:52] /a 1
[14/10/2017 20:19:52] /a 1
[14/10/2017 20:19:54] /a 1
[14/10/2017 20:19:54] /a 1
[14/10/2017 20:19:54] /a 1
[14/10/2017 20:19:54] /a 1
[14/10/2017 20:19:54] /a 1
[14/10/2017 20:19:54] /a 1
[14/10/2017 20:19:55] /a 1
[14/10/2017 20:19:55] /a 1
[14/10/2017 20:19:55] /a 1
[14/10/2017 20:19:55] /a 1
[14/10/2017 20:19:55] /a 1
[14/10/2017 20:19:55] /a 1
[14/10/2017 20:19:55] /a 1
[14/10/2017 20:19:55] /a 1
[14/10/2017 20:19:55] /a 1
[14/10/2017 20:19:55] /a 1
[14/10/2017 20:19:55] /a 1
[14/10/2017 20:19:55] /a 1
[14/10/2017 20:19:55] /a 1
[14/10/2017 20:19:55] /a 1
[14/10/2017 20:19:57] /up
[14/10/2017 20:19:58] /down
[14/10/2017 20:19:59] /down
[14/10/2017 20:20:0] /a 1
[14/10/2017 20:20:1] /a 1
[14/10/2017 20:20:1] /a 10
[14/10/2017 20:20:2] /a 10
[14/10/2017 20:20:3] /a 10
[14/10/2017 20:20:4] /up
[14/10/2017 20:20:8] /a 10
[14/10/2017 20:20:9] /a 10
[14/10/2017 20:20:11] /a 1
[14/10/2017 20:20:11] /a 1
[14/10/2017 20:20:12] /a 1
[14/10/2017 20:20:13] /a 1
[14/10/2017 20:20:13] /a 1
[14/10/2017 20:20:14] /a 1
[14/10/2017 20:20:14] /a 1
[14/10/2017 20:20:14] /a 1
[14/10/2017 20:20:14] /a 1
[14/10/2017 20:20:14] /a 1
[14/10/2017 20:20:14] /a 1
[14/10/2017 20:20:14] /a 1
[14/10/2017 20:20:40] /down
[14/10/2017 20:20:41] /up
[14/10/2017 20:20:42] /up
[14/10/2017 20:20:43] /up
[14/10/2017 20:20:44] /up
[14/10/2017 20:27:30] /a 10
[14/10/2017 20:27:31] /a 10
[14/10/2017 20:27:31] /a 10
[14/10/2017 20:27:31] /a 10
[14/10/2017 20:27:34] /a 10
[14/10/2017 20:27:34] /a 10
[14/10/2017 20:27:36] /a 10
[14/10/2017 20:27:38] /a 1
[14/10/2017 20:27:38] /a 1
[14/10/2017 20:27:39] /a 1
[14/10/2017 20:27:41] /a 1
[14/10/2017 20:27:41] /a 1
[14/10/2017 20:27:41] /a 1
[14/10/2017 20:27:43] /a 1
[14/10/2017 20:27:43] /a 1
[14/10/2017 20:27:45] /a 1
[14/10/2017 20:27:45] /a 1
[14/10/2017 20:27:45] /a 1
[14/10/2017 20:27:45] /a 1
[14/10/2017 20:27:45] /a 1
[14/10/2017 20:27:45] /a 1
[14/10/2017 20:27:46] /a 1
[14/10/2017 20:27:46] /a 1
[14/10/2017 20:27:46] /a 1
[14/10/2017 20:27:46] /a 1
[14/10/2017 20:27:46] /a 1
[14/10/2017 20:27:46] /up
[14/10/2017 20:27:48] /up
[14/10/2017 20:27:50] /down
[14/10/2017 20:27:51] /down
[14/10/2017 20:27:52] /a 1
[14/10/2017 20:27:53] /a 1
[14/10/2017 20:27:53] /a 1
[14/10/2017 20:27:53] /a 1
[14/10/2017 20:27:53] /a 1
[14/10/2017 20:27:53] /a 1
[14/10/2017 20:27:53] /a 1
[14/10/2017 20:27:53] /a 1
[14/10/2017 20:27:53] /a 1
[14/10/2017 20:27:53] /a 1
[14/10/2017 20:27:54] /a 1
[14/10/2017 20:27:54] /a 1
[14/10/2017 20:27:55] /a 1
[14/10/2017 20:27:55] /a 1
[14/10/2017 20:27:56] /up
[14/10/2017 20:27:56] /up
[14/10/2017 20:27:57] /up
[14/10/2017 20:27:58] /down
[14/10/2017 20:27:58] /down
[14/10/2017 20:27:59] /down
[14/10/2017 20:27:59] /down
[14/10/2017 20:28:5] /down
[14/10/2017 20:28:5] /up
[14/10/2017 20:28:8] /down
[14/10/2017 20:28:9] /up
[14/10/2017 20:28:10] /up
[14/10/2017 20:28:11] /down
[14/10/2017 20:28:11] /up
[14/10/2017 20:28:12] /down
[14/10/2017 20:28:15] /down
[14/10/2017 20:28:17] /up
[14/10/2017 20:28:18] /up
[14/10/2017 20:28:21] /up
[14/10/2017 20:28:23] /down
[14/10/2017 20:28:23] /a 1
[14/10/2017 20:28:24] /a 1
[14/10/2017 20:28:24] /a 1
[14/10/2017 20:28:24] /a 1
[14/10/2017 20:28:24] /a 1
[14/10/2017 20:28:25] /a 1
[14/10/2017 20:28:27] /up
[14/10/2017 20:28:28] /down
[14/10/2017 20:28:29] /up
[14/10/2017 20:28:30] /down
[14/10/2017 20:28:30] /up
[14/10/2017 20:28:32] /down
[14/10/2017 20:28:33] /down
[14/10/2017 20:28:34] /up
[14/10/2017 20:28:34] /up
[14/10/2017 20:28:36] /down
[14/10/2017 20:28:37] /up
[14/10/2017 20:28:39] /down
[14/10/2017 20:28:45] /a 1
[14/10/2017 20:28:46] /a 10
[14/10/2017 20:28:47] /up
[14/10/2017 20:28:48] /down
[14/10/2017 20:28:48] /down
[14/10/2017 20:28:51] /a 10
[14/10/2017 20:28:54] /a 1
[14/10/2017 20:28:54] /a 1
[14/10/2017 20:28:54] /a 1
[14/10/2017 20:28:55] /a 1
[14/10/2017 20:28:55] /a 1
[14/10/2017 20:28:55] /a 1
[14/10/2017 20:28:55] /a 1
[14/10/2017 20:28:56] /a 1
[14/10/2017 20:28:58] /up
[14/10/2017 20:28:59] /down
[14/10/2017 20:29:0] /down
[14/10/2017 20:29:1] /up
[14/10/2017 20:29:1] /up
[14/10/2017 20:29:1] /up
[14/10/2017 20:29:1] /up
[14/10/2017 20:29:2] /up
[14/10/2017 20:29:2] /up
[14/10/2017 20:29:2] /up
[14/10/2017 20:29:2] /up
[14/10/2017 20:29:2] /up
[14/10/2017 20:29:3] /up
[14/10/2017 20:29:3] /up
[14/10/2017 20:29:3] /up
[14/10/2017 20:29:3] /up
[14/10/2017 20:29:3] /up
[14/10/2017 20:29:4] /up
[14/10/2017 20:29:4] /down
[14/10/2017 20:29:5] /down
[14/10/2017 20:29:5] /down
[14/10/2017 20:29:5] /down
[14/10/2017 20:29:5] /down
[14/10/2017 20:29:8] /a 1
[14/10/2017 20:29:10] /up
[14/10/2017 20:29:11] /down
[14/10/2017 20:29:12] /a 1
[14/10/2017 20:29:21] /up
[14/10/2017 20:29:22] /down
[14/10/2017 20:29:23] /up
[14/10/2017 20:29:24] /up
[14/10/2017 20:29:24] /down
[14/10/2017 20:29:25] /down
[14/10/2017 20:29:29] /a 1
[14/10/2017 20:29:30] /a 1
[14/10/2017 20:29:30] /a 1
[14/10/2017 20:29:30] /a 1
[14/10/2017 20:29:33] /a 1
[14/10/2017 20:29:33] /a 1
