[9/2/2017 0:39:17] /c Boladao Rodo Mamando
[9/2/2017 0:39:28] /kick Boladao Rodo Mamando
[9/2/2017 0:40:20] /c Boladao Rodo Mamando
[9/2/2017 0:40:50] /down
[9/2/2017 0:40:51] /down
[9/2/2017 0:41:44] /t
[9/2/2017 0:42:0] /ghost
[9/2/2017 0:42:4] /goto Boladao Rodo Mamando
[9/2/2017 0:42:13] /t
[9/2/2017 0:42:14] /goto Boladao Rodo Mamando
[9/2/2017 0:42:22] /t
[9/2/2017 0:42:37] /ghost
[9/2/2017 0:47:30] /t
[9/2/2017 0:50:29] /ghost
[9/2/2017 0:50:33] /goto fuck on
[9/2/2017 0:50:41] /m guarda costas do god
[9/2/2017 0:50:50] /c fuck on
[9/2/2017 0:51:2] /c fuck on
[9/2/2017 0:51:6] /c fuck on]
[9/2/2017 0:51:11] /c fuck on
[9/2/2017 0:51:12] /c fuck on
[9/2/2017 0:51:12] /c fuck on
[9/2/2017 0:51:12] /c fuck on
[9/2/2017 0:51:12] /c fuck on
[9/2/2017 0:51:12] /c fuck on
[9/2/2017 0:51:12] /c fuck on
[9/2/2017 0:51:12] /c fuck on
[9/2/2017 0:51:12] /c fuck on
[9/2/2017 0:51:12] /c fuck on
[9/2/2017 0:51:12] /c fuck on
[9/2/2017 0:51:12] /c fuck on
[9/2/2017 0:51:12] /c fuck on
[9/2/2017 0:51:12] /c fuck on
[9/2/2017 0:51:12] /c fuck on
[9/2/2017 0:51:12] /c fuck on
[9/2/2017 0:51:12] /c fuck on
[9/2/2017 0:51:12] /c fuck on
[9/2/2017 0:51:12] /c fuck on
[9/2/2017 0:51:12] /c fuck on
[9/2/2017 0:51:12] /c fuck on
[9/2/2017 0:51:12] /c fuck on
[9/2/2017 0:51:12] /c fuck on
[9/2/2017 0:51:12] /c fuck on
[9/2/2017 0:51:12] /c fuck on
[9/2/2017 0:51:12] /c fuck on
[9/2/2017 0:51:12] /c fuck on
[9/2/2017 0:51:12] /c fuck on
[9/2/2017 0:51:12] /c fuck on
[9/2/2017 0:51:13] /c fuck on
[9/2/2017 0:51:13] /c fuck on
[9/2/2017 0:51:13] /c fuck on
[9/2/2017 0:51:13] /c fuck on
[9/2/2017 0:51:13] /c fuck on
[9/2/2017 0:51:13] /c fuck on
[9/2/2017 0:51:13] /c fuck on
[9/2/2017 0:51:13] /c fuck on
[9/2/2017 0:51:13] /c fuck on
[9/2/2017 0:51:13] /c fuck on
[9/2/2017 0:51:13] /c fuck on
[9/2/2017 0:51:13] /c fuck on
[9/2/2017 0:51:13] /c fuck on
