[2/9/2016 22:33:31] /closeserver
[2/9/2016 22:47:16] /i 2121
[2/9/2016 22:47:18] /i 2121
[2/9/2016 22:47:22] /i 2122
[2/9/2016 22:47:37] /i 2123
[2/9/2016 22:47:43] /i 2124
[2/9/2016 22:47:46] /i 2125
[2/9/2016 22:47:49] /i 2126
[2/9/2016 22:47:51] /i 2121
[2/9/2016 22:47:56] /i 2120
[2/9/2016 22:48:1] /i 2119
[2/9/2016 22:48:7] /r
[2/9/2016 22:53:51] /shutdown
[2/9/2016 22:55:43] /closeserver
[2/9/2016 22:56:25] /i new mage staff
[2/9/2016 22:57:4] /addskill [GOD] New, magic
[2/9/2016 22:57:5] /addskill [GOD] New, magic
[2/9/2016 22:57:5] /addskill [GOD] New, magic
[2/9/2016 22:57:5] /addskill [GOD] New, magic
[2/9/2016 22:57:5] /addskill [GOD] New, magic
[2/9/2016 22:57:5] /addskill [GOD] New, magic
[2/9/2016 22:57:5] /addskill [GOD] New, magic
[2/9/2016 22:57:5] /addskill [GOD] New, magic
[2/9/2016 22:57:5] /addskill [GOD] New, magic
[2/9/2016 22:57:5] /addskill [GOD] New, magic
[2/9/2016 22:57:5] /addskill [GOD] New, magic
[2/9/2016 22:57:5] /addskill [GOD] New, magic
[2/9/2016 22:57:5] /addskill [GOD] New, magic
[2/9/2016 22:57:5] /addskill [GOD] New, magic
[2/9/2016 22:57:5] /addskill [GOD] New, magic
[2/9/2016 22:57:5] /addskill [GOD] New, magic
[2/9/2016 22:57:5] /addskill [GOD] New, magic
[2/9/2016 22:57:5] /addskill [GOD] New, magic
[2/9/2016 22:57:5] /addskill [GOD] New, magic
[2/9/2016 22:57:5] /addskill [GOD] New, magic
[2/9/2016 22:57:5] /addskill [GOD] New, magic
[2/9/2016 22:57:5] /addskill [GOD] New, magic
[2/9/2016 22:57:5] /addskill [GOD] New, magic
[2/9/2016 22:57:5] /addskill [GOD] New, magic
[2/9/2016 22:57:5] /addskill [GOD] New, magic
[2/9/2016 22:57:5] /addskill [GOD] New, magic
[2/9/2016 22:57:5] /addskill [GOD] New, magic
[2/9/2016 22:57:6] /addskill [GOD] New, magic
[2/9/2016 22:57:6] /addskill [GOD] New, magic
[2/9/2016 22:57:6] /addskill [GOD] New, magic
[2/9/2016 22:57:6] /addskill [GOD] New, magic
[2/9/2016 22:57:6] /addskill [GOD] New, magic
[2/9/2016 22:57:6] /addskill [GOD] New, magic
[2/9/2016 22:57:6] /addskill [GOD] New, magic
[2/9/2016 22:57:6] /addskill [GOD] New, magic
[2/9/2016 22:57:6] /addskill [GOD] New, magic
[2/9/2016 22:57:6] /addskill [GOD] New, magic
[2/9/2016 22:57:6] /addskill [GOD] New, magic
[2/9/2016 22:57:6] /addskill [GOD] New, magic
[2/9/2016 22:57:6] /addskill [GOD] New, magic
[2/9/2016 22:57:6] /addskill [GOD] New, magic
[2/9/2016 22:57:6] /addskill [GOD] New, magic
[2/9/2016 22:57:6] /addskill [GOD] New, magic
[2/9/2016 22:57:6] /addskill [GOD] New, magic
[2/9/2016 22:57:6] /addskill [GOD] New, magic
[2/9/2016 22:57:6] /addskill [GOD] New, magic
[2/9/2016 22:57:6] /addskill [GOD] New, magic
[2/9/2016 22:57:6] /addskill [GOD] New, magic
[2/9/2016 22:57:6] /addskill [GOD] New, magic
[2/9/2016 22:57:6] /addskill [GOD] New, magic
[2/9/2016 22:57:6] /addskill [GOD] New, magic
[2/9/2016 22:57:6] /addskill [GOD] New, magic
[2/9/2016 22:57:6] /addskill [GOD] New, magic
[2/9/2016 22:57:6] /addskill [GOD] New, magic
[2/9/2016 22:57:6] /addskill [GOD] New, magic
[2/9/2016 22:57:6] /addskill [GOD] New, magic
[2/9/2016 22:57:6] /addskill [GOD] New, magic
[2/9/2016 22:57:6] /addskill [GOD] New, magic
[2/9/2016 22:57:6] /addskill [GOD] New, magic
[2/9/2016 22:57:7] /addskill [GOD] New, magic
[2/9/2016 22:57:7] /addskill [GOD] New, magic
[2/9/2016 22:57:7] /addskill [GOD] New, magic
[2/9/2016 22:57:7] /addskill [GOD] New, magic
[2/9/2016 22:57:7] /addskill [GOD] New, magic
[2/9/2016 22:57:7] /addskill [GOD] New, magic
[2/9/2016 22:57:7] /addskill [GOD] New, magic
[2/9/2016 22:57:7] /addskill [GOD] New, magic
[2/9/2016 22:57:7] /addskill [GOD] New, magic
[2/9/2016 22:57:7] /addskill [GOD] New, magic
[2/9/2016 22:57:7] /addskill [GOD] New, magic
[2/9/2016 22:57:7] /addskill [GOD] New, magic
[2/9/2016 22:57:7] /addskill [GOD] New, magic
[2/9/2016 22:57:7] /addskill [GOD] New, magic
