[16/3/2016 2:43:51] /b Galera, se tiverem alguma duvida podem chama privado.
[16/3/2016 6:51:10] /a
[16/3/2016 6:51:13] /a 30
[16/3/2016 6:56:24] /t
[16/3/2016 6:56:36] /a 5
[16/3/2016 6:56:41] /a 10
[16/3/2016 6:56:47] /a 10
[16/3/2016 6:56:49] /a 5
[16/3/2016 6:56:52] /a 15
[16/3/2016 6:57:4] /goto ai meu vis
[16/3/2016 6:57:38] /a 3
[16/3/2016 7:16:19] /a 6
[16/3/2016 7:16:23] /a 8
[16/3/2016 7:16:25] /a 8
[16/3/2016 7:16:32] /a 5
[16/3/2016 7:16:33] /a 5
[16/3/2016 7:16:34] /a 5
[16/3/2016 7:16:34] /a 5
[16/3/2016 7:16:35] /a 5
[16/3/2016 7:16:35] /a 5
[16/3/2016 7:16:36] /a 5
[16/3/2016 7:16:37] /a 5
[16/3/2016 7:16:38] /a 5
[16/3/2016 7:16:38] /a 5
[16/3/2016 7:16:39] /a 5
[16/3/2016 7:16:39] /a 5
[16/3/2016 7:16:40] /a 5
[16/3/2016 7:16:40] /a 5
[16/3/2016 7:16:41] /a 5
[16/3/2016 7:16:43] /a 5
[16/3/2016 7:16:44] /a 5
[16/3/2016 7:16:46] /a 5
[16/3/2016 7:16:48] /a 5
[16/3/2016 7:16:49] /a 5
[16/3/2016 7:16:50] /a 5
[16/3/2016 7:16:51] /a 5
[16/3/2016 7:16:53] /a 5
[16/3/2016 7:16:54] /a 5
[16/3/2016 7:16:54] /a 5
[16/3/2016 7:16:55] /a 5
[16/3/2016 7:16:56] /a 5
[16/3/2016 7:16:57] /a 5
[16/3/2016 7:16:58] /a 5
[16/3/2016 7:16:59] /a 5
[16/3/2016 7:17:0] /a 5
[16/3/2016 7:17:0] /a 5
[16/3/2016 7:17:1] /a 5
[16/3/2016 7:17:3] /a 5
[16/3/2016 7:17:3] /a 5
[16/3/2016 7:17:4] /a 5
[16/3/2016 7:17:7] /a 5
[16/3/2016 7:17:8] /a 5
[16/3/2016 7:17:8] /a 5
[16/3/2016 7:17:9] /a 5
[16/3/2016 7:17:10] /a 5
[16/3/2016 7:17:11] /a 5
[16/3/2016 7:17:12] /a 5
[16/3/2016 7:17:13] /a 5
[16/3/2016 7:17:14] /a 5
[16/3/2016 7:17:15] /a 5
[16/3/2016 7:17:16] /a 5
[16/3/2016 7:17:17] /a 5
[16/3/2016 7:17:18] /a 5
[16/3/2016 7:17:19] /a 5
[16/3/2016 7:17:19] /a 5
[16/3/2016 7:17:20] /a 5
[16/3/2016 7:17:21] /a 5
[16/3/2016 7:17:22] /a 5
[16/3/2016 7:17:23] /a 5
[16/3/2016 7:17:24] /a 5
[16/3/2016 7:17:25] /a 5
[16/3/2016 7:17:26] /a 5
[16/3/2016 7:25:13] /a 30
[16/3/2016 7:25:16] /a 10
